state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
5500000	0.000	0.033	0.000	2	0	0.000	0.025	-0.004	102.92	-40.92	0.00	-0.16
5510000	0.000	0.845	0.000	1	0	0.000	0.040	-0.005	101.03	-39.86	-0.00	-0.69
5520000	0.000	0.024	0.000	1	0	0.000	0.020	0.033	104.71	-39.86	-0.00	0.00
5530000	0.000	6585.639	0.000	1	0	0.000	0.013	0.023	98.10	-40.31	-0.00	0.00
5540000	0.000	26.024	0.000	1	0	0.000	0.020	-0.019	101.90	-39.89	0.00	0.00
5550000	0.000	73.479	0.000	1	0	0.000	0.034	0.000	100.16	-39.95	0.00	-6.49
5560000	0.000	29.538	0.000	1	0	0.000	0.027	0.019	100.62	-39.90	0.00	0.00
5570000	0.000	20.969	0.000	2	0	0.000	0.020	0.039	101.62	-40.95	-0.01	0.00
5580000	0.000	3.268	0.000	1	0	0.000	0.018	-0.024	102.32	-39.86	-0.00	0.26
5590000	0.000	0.290	0.000	1	0	0.000	0.026	0.029	102.77	-39.86	-0.00	-0.69
5600000	0.000	0.000	0.000	0	0	0.000	0.013	-0.030	101.51	-39.50	-0.00	0.00
5610000	0.000	1.699	0.000	1	0	0.000	0.043	0.042	95.40	-39.86	0.00	-6.46
5620000	0.000	0.236	0.000	1	0	0.000	0.014	-0.014	103.67	-39.86	-0.00	0.25
5630000	0.000	4.755	0.000	2	0	0.000	0.023	-0.025	101.83	-40.93	0.00	0.00
5640000	0.000	0.375	0.000	2	0	0.000	0.025	0.015	100.18	-40.92	-0.00	0.00
5650000	0.000	2.050	0.000	1	0	0.000	0.041	-0.043	99.50	-39.86	-0.00	0.00
5660000	0.000	0.295	0.000	1	0	0.000	0.015	-0.008	102.34	-39.86	-0.01	0.00
5670000	0.000	1.343	0.000	1	0	0.000	0.022	0.033	102.39	-39.86	-0.00	0.00
5680000	0.000	1.921	0.000	1	0	0.000	0.023	-0.045	102.50	-39.86	0.00	-6.37
5690000	0.000	0.468	0.000	2	0	0.000	0.020	0.036	101.11	-40.92	0.00	-6.28
5700000	0.000	0.000	0.000	0	0	0.000	0.030	0.013	101.68	-39.50	0.00	-6.59
5710000	0.000	0.005	0.000	1	0	0.000	0.023	0.018	105.77	-39.86	-0.00	-0.69
5720000	0.000	0.002	0.000	2	0	0.000	0.018	-0.053	107.23	-40.92	-0.00	-0.69
5730000	0.000	0.002	0.000	1	0	0.000	0.024	0.035	104.58	-39.86	-0.00	-0.69
5740000	0.000	0.039	0.000	2	0	0.000	0.008	-0.018	100.95	-40.92	0.00	-6.46
5750000	0.000	6.905	0.000	3	0	0.000	0.010	-0.052	98.69	-42.39	0.00	-0.54
5760000	0.000	39.566	0.000	1	0	0.000	0.020	0.021	96.35	-39.91	-0.03	0.00
5770000	0.000	2.527	0.000	3	0	0.000	0.032	0.008	95.11	-42.39	-0.00	-0.69
5780000	0.000	1.331	0.000	1	0	0.000	0.018	-0.008	103.11	-39.86	0.00	-6.24
5790000	0.000	0.007	0.000	1	0	0.000	0.024	0.011	102.89	-39.86	0.00	-6.35
5800000	0.000	1.133	0.000	1	0	0.000	0.020	0.006	103.35	-39.86	-0.00	0.00
5810000	0.000	0.000	0.000	0	0	0.000	0.021	0.033	101.85	-39.50	-0.00	0.00
5820000	0.000	0.000	0.000	1	0	0.000	0.013	-0.004	101.05	-39.86	0.00	-5.97
5830000	0.000	3.381	0.000	1	0	0.000	0.022	0.019	102.21	-39.86	0.00	-0.08
5840000	0.000	66.994	0.000	1	0	0.000	0.023	-0.018	101.39	-39.95	-0.17	-0.69
5850000	0.000	0.009	0.000	1	0	0.000	0.024	0.048	103.38	-39.86	0.00	0.69
5860000	0.000	0.925	0.000	1	0	0.000	0.029	-0.051	102.12	-39.86	-0.00	-0.69
5870000	0.000	0.117	0.000	2	0	0.000	0.013	-0.061	102.39	-40.92	-0.00	-0.69
5880000	0.000	22.175	0.000	1	0	0.000	0.017	0.062	99.78	-39.89	-0.00	0.00
5890000	0.000	5.332	0.000	2	0	0.000	0.015	0.046	100.52	-40.93	-0.00	-0.69
5900000	0.000	0.947	0.000	1	0	0.000	0.025	-0.035	102.75	-39.86	0.00	-6.61
5910000	0.000	41.495	0.000	1	0	0.000	0.027	0.012	101.25	-39.92	-0.00	0.00
5920000	0.000	1.438	0.000	1	0	0.000	0.021	0.003	101.48	-39.86	-0.00	0.00
5930000	0.000	146.551	0.000	1	0	0.000	0.036	-0.095	94.34	-40.01	-0.01	0.00
5940000	0.000	0.005	0.000	1	0	0.000	0.023	0.014	105.92	-39.86	0.00	-6.46
5950000	0.000	1.555	0.000	1	0	0.000	0.029	-0.038	101.69	-39.86	-0.00	0.00
5960000	0.000	0.344	0.000	1	0	0.000	0.029	-0.011	103.54	-39.86	-0.00	0.00
5970000	0.000	2.482	0.000	2	0	0.000	0.020	-0.016	102.78	-40.92	0.00	-0.69
