state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
780	1.140	1.140	1.140	0	0	0.000	0.126	-0.574	-35.41	-334.11	0.01	0.00
790	1.468	1.468	1.468	0	0	0.000	0.105	-0.823	-35.44	-334.12	0.00	0.00
800	1.389	1.389	1.389	0	0	0.000	0.024	-1.143	-35.30	-334.12	-0.01	0.00
810	1.104	1.104	1.104	0	0	0.000	0.028	-0.928	-35.23	-334.11	0.00	0.00
820	1.319	1.319	1.319	0	0	0.000	0.028	-0.985	-35.15	-334.12	-0.00	0.00
830	2.217	2.217	2.217	0	0	0.000	0.028	-0.788	-36.60	-334.16	-0.04	0.00
840	1.239	1.239	1.239	0	0	0.000	0.112	-0.594	-35.27	-334.11	-0.01	0.00
850	1.105	1.105	1.105	0	0	0.000	0.103	-0.322	-35.23	-334.11	-0.01	0.00
860	2.040	2.040	2.040	0	0	0.000	0.103	-0.401	-36.31	-334.15	-0.01	0.00
870	1.386	1.386	1.386	0	0	0.000	0.103	0.125	-35.19	-334.12	-0.02	0.00
880	2.796	2.796	2.796	0	0	0.000	0.195	0.125	-38.47	-334.19	0.00	0.00
890	2.831	2.831	2.831	0	0	0.000	0.167	0.125	-38.41	-334.19	-0.03	0.00
900	1.368	1.368	1.368	0	0	0.000	0.167	-0.170	-35.55	-334.12	0.02	0.00
910	1.042	1.042	1.042	0	0	0.000	0.167	-0.364	-35.78	-334.11	0.02	0.00
920	1.247	1.247	1.247	0	0	0.000	0.209	-0.364	-35.85	-334.11	-0.01	0.00
930	0.785	0.785	0.785	0	0	0.000	0.209	0.003	-37.34	-334.09	0.01	0.00
940	0.873	0.873	0.873	0	0	0.000	0.209	-0.134	-36.72	-334.10	0.02	0.00
950	2.277	2.277	2.277	0	0	0.000	0.209	-0.044	-37.38	-334.16	-0.05	0.00
960	1.036	1.036	1.036	0	0	0.000	0.209	-0.044	-36.09	-334.10	0.03	0.00
970	1.611	1.611	1.611	0	0	0.000	0.253	-0.044	-36.43	-334.13	-0.00	0.08
980	1.123	1.123	1.123	0	0	0.000	0.253	0.020	-36.28	-334.11	0.00	0.00
990	1.453	1.453	1.453	0	0	0.000	0.253	0.020	-36.26	-334.12	-0.02	0.00
1000	1.409	1.409	1.409	0	0	0.000	0.209	0.028	-35.89	-334.12	-0.01	0.00
