"","specimen","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","Prey"
"1","Alopias_superciliosus",-0.111027753543324,0.00414277316604019,0.0148693470727489,0.00532251074553347,-0.00220866570513262,0.0259598887114352,-0.0191034781837825,0.00349273304276135,-0.0218328122234706,4.48349300752872e-05,0.0448474860238282,0.00643567539808615,0.0131438684339318,-0.0203664027147157,-0.0202331143970275,0.0235296904075934,-0.00684405818494504,0.00767237159912477,0.0157885642146524,-0.0237534777560944,0.0156700291604743,-0.00140313676504925,0.00796371469454726,0.00715321621007748,-0.0071591998421267,-0.00423292964661595,0.00115727717331995,0.00628038793802744,-0.0133676492106575,0.00168613329585429,-0.00147961195408938,0.00723889955477771,-0.00154227231967384,0.0049328995510564,-0.000621996948905474,3.03142927426947e-16,4.94179350218893e-16,-2.5955800009303e-16,-1.90819582357449e-17,-5.63785129692462e-18,-9.26992857475106e-17,7.89299181569447e-17,"fish_&_cephalopoda"
"2","Alopias_vulpinus",-0.0965589781820819,0.000909565839386391,0.028005991436338,-0.0291884666024443,0.0131489475231815,0.00352535209746711,-0.0204622707927484,0.0269007731908063,-0.00779201486580751,-0.0104215958514399,0.056813187207862,-0.024298660402569,0.0114194152971561,-0.0146321578843065,-0.0132406889977876,0.0135494574392803,0.0342129849120042,0.00220235027254897,0.00526279436272383,-0.0245870161691976,0.00643754051184949,0.00927569845541797,-0.0123167198745168,0.00246532585697955,-0.0023345982605078,-0.000357709456608544,0.00339350920654947,-0.00320638182201176,0.00577971926759686,0.013565587907021,0.00530682420775415,0.0113599616419171,-0.00100700782480789,-0.00359551201449475,-0.00068583395339923,-2.61943244872498e-15,-8.18789480661053e-16,7.45931094670027e-17,2.08166817117217e-17,1.32706345912226e-16,-5.87637577487143e-17,3.55618312575245e-17,"fish_&_cephalopoda"
"3","Apristurus_laurussonii",-0.0217407845002155,0.050637540996409,-0.0420971537690556,0.0672831073972647,-0.00738016017386851,-0.0507976632222088,-0.0247114565574564,-0.0380748047690937,0.0417304108176958,-0.0265116750633401,-0.00702070487450625,0.0363627498307715,0.0202947018085454,-0.0114635400841268,0.0271105358340418,-0.0141880573419316,-0.00729317324325935,-0.00727488093156793,0.0176563401274259,-0.0163364265738365,-0.00487130337599341,-0.0124525534435816,-0.0194312139762874,-0.0183481895002998,-0.00776016737078925,-0.00595899337438301,0.0291653417820742,-0.000794409185301763,-0.0097347204907814,-0.0028490820149004,-0.0106310323512202,0.000465171199285172,-0.000382522434990115,-0.000327107601448098,0.00219773222438343,2.53269627492614e-15,7.91901266783412e-16,5.35162192338845e-16,-8.32667268468867e-17,3.81639164714898e-17,-5.6920614055489e-17,0,"generalist"
"4","Atelomycterus_marmoratus",0.04187601523987,0.0681039518215229,0.0659316067469712,0.0877184653144968,-0.0192447421825815,0.00318510304543462,0.00411002592499812,0.00503534129355135,-0.0131228316345792,-0.000294944335852429,-0.00564839337792044,0.00895929938996436,0.0244394342051108,0.019593305883048,-0.0148692441341127,0.0465953915646264,-0.0143855588401416,-0.00394870099884403,-0.0115788765073182,0.00172686534853583,-0.0199501320037165,0.00965273688522814,-0.00795140382115047,0.013240593077721,0.00103563277843202,0.00213636925045536,0.000817089204719177,-0.00350921660324824,-0.00710574444556944,0.00134095330475946,-0.00292619881179692,0.00366038696720235,0.00121995970996957,0.000737271348987322,-0.00106885755673654,5.99412013080336e-15,-2.16883802584e-15,2.7972416050126e-16,1.97758476261356e-16,-1.24466409401336e-16,-3.33934269125535e-17,-1.02999206386123e-17,"generalist"
"5","Carcharhinus_acronotus",-0.04883921343445,-0.0619493251566376,0.047063351623885,0.00412653765686093,0.00980251016270858,-0.0444248817729333,-0.000600236390589822,-0.00679208224482369,-0.030935601480145,0.00540275927324414,-0.0185456180124225,-0.0127954907860877,0.00813653964562777,0.0266746917082968,0.00615354393502415,-0.0111203224388558,-0.0141585270957117,0.00732333940218255,0.00877340922297731,-0.0138710914372459,0.000262348623123412,-0.0146800048789277,0.00897214906388064,0.012158001542607,-0.00911710875781374,0.00389576381432874,-0.00330962406276261,0.00158028291143158,-0.00671494891321834,-0.00195831859594696,0.00343478769194191,-0.00185108081011229,-0.00169433436510305,-0.000359861868798534,0.00200425072806975,8.14235831536614e-16,-6.2233204700668e-17,-1.7499023063916e-16,-1.02348685082632e-16,-2.21177243187043e-16,-8.84166871661929e-17,-8.32667268468867e-17,"fish_&_cephalopoda"
"6","Carcharhinus_amboinensis",-0.101594178057951,-0.0292864044580975,-0.0362379931342328,-0.0151414530806197,0.0214942150083771,-0.0473977144799513,-0.0146846929174939,-0.0304637456660898,0.000260608933640407,-0.000479050776599205,0.0255463848015888,0.0124584443256719,0.0115088687020444,-0.00591192588787798,0.024894796301575,-0.000180739179040582,0.00404488783561323,0.00124863237709272,-0.0244262889772296,0.00118583646445368,0.00532178682554647,0.0106230790744925,0.00591325581341909,-0.015442165902963,0.00144141335582496,-0.00495430607430023,0.00136843297085043,-0.00261107374001436,0.00293378845399955,-0.0035168989561697,-0.000124717863923743,0.000231854292196749,0.00333573555674921,-0.00212399099887836,-0.00162519681894317,4.49065697821771e-15,-1.27068494615301e-16,-1.03085942559922e-15,1.03649727689614e-16,5.39932681897781e-17,4.42083435830964e-17,2.42861286636753e-17,"fish_&_cephalopoda"
"7","Carcharhinus_brachyurus",-0.0636465767373974,-0.0305219060972068,0.0100947921846642,-0.0240915637736332,0.0077256802074175,-0.0523026279492699,-0.0296530494175237,0.0125026820304517,-0.0181439371163051,-0.00167402190822643,-0.0264208373994656,-0.00445611247633832,0.0101300255576981,-0.0189300029571797,-0.00602775325313536,0.0131440752044991,0.000812171165609554,-0.0257216884587751,-0.0233982200584985,0.00710726120103937,-0.0228782647505971,0.0109513113092252,-0.00112182258623998,0.00679723088043234,0.00429228595083205,0.00533293768272508,0.00871894429717903,-0.0061033905535028,-0.00166188838798679,0.00950162998471451,0.000863207384278519,-0.00788977941360891,-0.00428128309770085,0.00716315212327166,0.00122368646202232,2.28332977525447e-16,-3.58437238223708e-16,-1.03432887255117e-16,1.58727198051878e-16,6.80878964320897e-17,-7.67073037033494e-17,-4.33680868994202e-18,"fish_&_cephalopoda"
"8","Carcharhinus_dussumieri",-0.0748169156348554,-0.0180241016760687,-0.0271225201808221,0.0234808293545691,0.0474985073281687,-0.0566193060416048,-0.023230834479902,-0.0279563001251138,0.0259178538018622,-0.00217309123461446,0.0298421238717052,0.0226422961803438,0.000629454982127338,0.00232867912053459,0.00442988377033352,0.0187073674457152,0.00393806484819037,-0.000951305751389201,-0.0108837244455322,0.00573849936758973,0.00281077105117798,0.00298747447151685,0.0132784833582082,-0.00793890669439319,0.00755502385280676,0.01051684807662,0.00396929085941607,0.00138465076750989,-0.00697907489410091,-0.0063492499589892,-0.00346312378810132,-0.00514124786697498,0.00133730371904831,0.00224196180641882,-8.29277012285303e-05,1.34115808736457e-15,-7.50267903359969e-17,3.04877650902924e-16,2.42861286636753e-17,8.10983225019157e-17,-1.07444435293313e-16,3.7621815385247e-17,"fish_&_cephalopoda"
"9","Carcharhinus_falciformis",-0.090023683136909,-0.0149622806836485,0.0590565950465819,0.00284131092601332,-0.00257036182311713,-0.0562203488510253,-0.0148441944577604,-0.0100998373468153,0.0162412023420358,0.00439970096067965,0.00320705917368284,0.00263125249596802,0.00380771548579513,0.00763577992677679,0.0111414639951687,0.0120046046979026,0.00960307184527167,0.0026472105986869,-0.0128200844646376,-0.00513740273479727,0.0107467636343952,-0.00956584625422457,0.0167813744416924,0.00103540552480074,0.00661244004932986,-0.000908257912277896,0.00153057307444394,0.00337087769411555,0.00348678807942496,-0.00342776839929318,0.00512533729318929,-0.00238537437574389,0.0079534134248953,-0.00311553820645355,0.000710064132266882,-2.31965054803274e-15,-3.74808691028239e-16,2.12503625807159e-17,-1.65666091955785e-16,1.17093834628434e-16,-5.14453930844372e-17,4.11996825544492e-18,"fish_&_cephalopoda"
"10","Carcharhinus_galapagensis",0.0198926417578609,-0.102184950800039,-0.02048870207353,-0.000415443910337388,0.0560105683010967,0.0148877182995142,0.0113660073022112,-0.0356345805857133,-0.0194087343528838,-0.00561216064592406,-0.0342103845089521,-0.0440943385213563,0.00627148570352701,0.0051225858796972,3.04253625787191e-05,-0.00284017127125786,-0.0192108851510356,-0.0139273621039825,0.0276328034316357,0.00208497577213526,-0.0156836213336608,-0.00675820764906866,-0.016327169452122,0.0193041340376398,-0.00311878082281544,-0.000657816296908123,0.0187583597207407,-0.000941302204106837,0.00788863765848432,-0.0112707026538882,0.0104403813134607,-0.0123091480167179,-0.00598689956331124,0.00226249385297918,0.00414147831288492,9.6710833785707e-16,-4.1286418728248e-16,3.3133218391157e-16,-7.45931094670027e-17,2.86229373536173e-17,-3.10081821330854e-17,-3.53449908230274e-17,"fish_&_cephalopoda"
