Id	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	ProcCoord39	ProcCoord40	ProcCoord41	ProcCoord42
Carcharhinus_brachyurus	-0.576209427487225	-0.016331048929286794	0.05978299544079911	-0.4764811283553275	0.01313039198237237	-0.027091468212954252	-0.0646919910235602	0.013344457049624002	0.0035885055337186176	-0.02918740571392887	-0.022411032420443497	0.040937002806337636	0.03886722626041931	0.012850777502923603	0.0462385863094801	0.07606379253790087	0.01891950888125315	0.07789301849565822	0.12436768320098633	0.08393412523051652	0.062234538422685295	0.15423450254481735	-0.043722163614294804	0.04815439331135373	0.15777674603526756	-0.05455867534730843	0.03315570421002344	0.19248208075864542	-0.01285894330783342	0.04876570211952466	0.23689577301126188	-0.018788270475029283	-0.014585960770425482	0.22646178795831823	2.5898842539116493E-4	-0.08782502383187202	0.23612718306511246	0.030037524009370986	-0.1532104051436461	-0.29670682279268723	-0.003805638987254903	-0.13803758869068342
Carcharhinus_dussumieri	-0.5982287916022618	-0.05712061103178157	0.060550497408738864	-0.49924539940651846	0.021378931415001096	0.010868577868402667	-0.06687504040192706	0.014516131898261264	0.002953672450378725	-0.03206789694383791	0.0052023929158726105	0.028517355395051146	0.043588341809755855	0.017505411643123844	0.042569669256259775	0.0742696344432504	0.04002899627452164	0.08135583651378919	0.13235148149455947	0.07705847761589278	0.05282936812837737	0.14056752653920906	-0.0374378609072022	0.039971323869676466	0.13173712560256295	-0.04935387362202691	0.021863479595981943	0.21667521191455544	-0.02631648575068069	0.04082019309580574	0.23893941810370284	-0.022242685726977802	-0.02364325714097625	0.21645579385510733	-0.005841001083112503	-0.06021051350884688	0.23008343329514216	0.0025937705015680462	-0.13398317137711196	-0.22825083870330048	0.020028405857541218	-0.16446303155552305
Carcharhinus_falciformis	-0.5788173569282508	-0.05657037403969584	0.044983002920104716	-0.47688864913822254	0.024318867954328947	-0.0012823878097580066	-0.06819812646712153	0.025121691948005235	-0.0028202853406729816	-0.0487533633744269	0.012664902278793494	0.010236408752079824	0.05297801257100249	0.03270376609826208	0.03755328231773301	0.08449797237803358	0.02443145961921726	0.07524026232960958	0.1421407870137817	0.06897539533330982	0.0493912071954896	0.13968409940327864	-0.042178139513601706	0.02954667190037547	0.1416299873475319	-0.046399902100828797	0.01764695329153377	0.2206943435152185	-0.030239991518277776	0.0509567455465511	0.2369143748659206	-0.022259310564163904	0.002374801870581901	0.22280222545356973	-0.003562718708828568	-0.05189120502534669	0.24033610121428367	0.012211734753391941	-0.13919761002619835	-0.309020407854592	7.826184600957381E-4	-0.12273784792206963
Carcharhinus_galapagensis	-0.5837369710080798	-0.02016527841199655	0.06630736953364837	-0.4557829913546359	0.02434573759877679	-0.025872731913123687	-0.08515525494958084	0.020087699094893673	0.011166604050098386	-0.057901933480014225	-0.02951908889544648	0.04648232363751367	0.03288678186454693	0.007474872637970521	0.056602072188788585	0.10303387359379627	0.0262397430596132	0.10210003059832795	0.12099248013353761	0.0791286277991815	0.07724540757576852	0.14442590763160054	-0.04206363921129326	0.05758868020302288	0.16384209717571255	-0.05556242647405194	0.02853834316243173	0.2160779799292567	-0.03019464264616864	0.061932233753496074	0.2629428824776905	-0.006748040110043593	0.028828121815858407	0.23240541702671808	0.010242558021196328	-0.09612701322275258	0.1360982400658221	0.029890393693281267	-0.23621578814903546	-0.23012850910636914	-0.01315651615591204	-0.1785756532340445
Carcharhinus_hemiodon	-0.5921539362794549	-0.026361361782680205	0.03722758201263824	-0.4913712667198121	0.027003607368332724	-0.004041521531020217	-0.049378006580143546	-0.0017700051695604194	0.014243305190519537	-0.03423947203864049	-0.017134398419635287	0.02609784555387937	0.05350861145418137	0.014887710568820302	0.0318229259369482	0.10398707101790608	0.0236964037394845	0.07193296734598494	0.13529218905560061	0.07099641021387446	0.04801126207654552	0.1456905883822407	-0.03810953141430225	0.032174406227873945	0.14708655322281078	-0.04708076455064664	0.0204653080286281	0.22579753520971318	-0.014673098314625228	0.055054575402557454	0.23994924183125885	-0.007019118880982606	0.017164302213718292	0.2061355898734209	-3.409126237028928E-4	-0.06568777679879699	0.19423192117037769	0.022067203105222685	-0.14617683529669817	-0.28453661959946197	-0.006162143839615275	-0.1382883463627891
Carcharhinus_leucas	-0.5634993063469053	-0.0394372085813314	0.03629508350232377	-0.4844223499808107	0.023675398004600317	-0.011144428815180463	-0.04905220616761057	0.009273868703027634	0.028683535608811032	-0.06518268450358082	-0.014173116636648617	0.04093375667427748	0.041513814964529466	0.026395176085775962	0.04711792613460589	0.11026435220856123	0.027758829364851904	0.08839135039821772	0.1413248418502468	0.07535236671921061	0.05701133243904726	0.13373209219239157	-0.03963090629812295	0.034534174134967455	0.14409086609416735	-0.046308500007154106	0.015985014330499397	0.23611782474284976	-0.01865104793385189	0.048676147741741504	0.24784037370532186	-0.018518675267472078	0.0321543835403079	0.20439338692783096	9.496239392031425E-4	-0.10267395665908843	0.1961182608698319	0.010605170377029675	-0.1571383182878387	-0.29323926655683025	0.0027090215308819554	-0.15882600074270367
Carcharhinus_macloti	-0.5496273590107963	-0.0340518872214888	0.05451938084807627	-0.5021682748177624	0.01659913805382567	0.007555377870035712	-0.09408483334564866	-0.006254905847966596	0.013444147019672123	-0.10026464501549118	-0.034123205246851224	0.031476437333228566	0.04657275298173185	0.027325924011601062	0.05380730534057702	0.09280217813224291	0.03167542107257558	0.08811383179442113	0.1378019056511175	0.08739073815140005	0.04321648293721836	0.13799635578368893	-0.032499170778839084	0.03844175492438756	0.14106974592397228	-0.04472053510656518	0.02601434757772085	0.20842359794238163	-0.01953033875696543	0.05986208875445133	0.2350268739245669	-0.021083015589568516	0.020141519658428562	0.2439677576769268	-0.0042502825665964895	-0.09657688184990677	0.2302734232535009	0.012063932547144884	-0.18258821942517084	-0.22778947908042882	0.021458187278297264	-0.1574275727831339
Carcharhinus_melanopterus	-0.568485934708645	-0.03314819340469688	0.05167630390445957	-0.5041429683319859	0.02283191458784079	-0.0042719640888893365	-0.051735060598963656	0.008710000167287792	0.0030745013801250923	-0.05142592902113012	-0.010976278162203354	0.017223276496768303	0.05633503883351147	0.02315248102512113	0.03373056120411807	0.1037387639183718	0.020901480693007658	0.07654803907433219	0.13298270050752525	0.07409695075587086	0.058094965952699466	0.14163966043848095	-0.04425153806124796	0.03652335870869082	0.1437165071684878	-0.05012731820272995	0.02304312836560955	0.22590419804541131	-0.018719514944864905	0.06362741717062034	0.24367378739392204	-0.009218549555647817	0.013163861795484266	0.21708413223302603	-0.003666282417732168	-0.04524651724473844	0.18615220123855253	0.02078530836290823	-0.17577408016665702	-0.27543709711656217	-3.7046084291321446E-4	-0.15141285255262044
Carcharias_taurus	-0.5995234272361365	-0.05530385062584095	0.038219403411762484	-0.4428294305751784	0.04867391252873531	-0.007311317544742374	-0.0753607896460914	1.9993571945636605E-4	0.030410782537864826	-0.06769294816033784	-0.0059820552990963605	0.03640053355686333	0.037396188783677155	0.02444991045192236	0.043483273530469976	0.10909478718852841	0.04425691406839785	0.08867688170815216	0.12415734299417736	0.07044006082272511	0.06544297264490118	0.12373210999689911	-0.027319619224586655	0.031673447220904836	0.13774856001828772	-0.044482777881923806	0.014293874898797233	0.2201154045697364	-0.02725975643138013	0.0548139241040478	0.25855226230247524	-0.022278049691256664	-0.030317917430751462	0.23840978120539774	-0.005664187846703476	-0.09590726112807682	0.2179531547437708	0.015769541424416278	-0.12657014950913176	-0.281752996185204	-0.015499978014864066	-0.1433084480010541
Carcharodon_carcharias	-0.5657274830473042	-0.031362134969968536	0.044593837210988405	-0.41592083214865816	0.019638302341118435	-0.0654363832340144	-0.06115572362686936	0.012895292310918736	0.03385972033729622	-0.07105608211731769	-0.014927524623867417	0.056975475373981704	0.05483434112209214	0.026907091495867435	0.08447236765430254	0.13641449823135882	0.035213705005311624	0.10068821617170509	0.15610973896214164	0.0682171161564114	0.06659435893608324	0.13508925793510695	-0.03976039657290589	0.048713517446302534	0.12671817218132106	-0.0447181679855904	0.026103311452060067	0.2419087995045715	-0.029723418569162725	0.05930412363229398	0.2628463184677686	-0.028059088507991714	0.024454320509778856	0.2172920793173617	-0.012393080896085752	-0.08891257287984582	0.1320285911571189	0.05659166716286812	-0.22442479126739884	-0.34938167593869185	-0.01851936234692282	-0.16698550134353285
