Id	PC1	PC2	PC3
Alopias_superciliosus	0.10285390838068031	-0.015770168321212804	-0.019631434032090306
Alopias_vulpinus	0.07880917635160163	-0.009759543688684626	-0.002758543904254984
Apristurus_laurussonii	0.014649010115313641	0.04436143543491516	-0.0723588545179257
Atelomycterus_macleayi	-0.06666146046885041	-0.005190131666041855	-0.13817612181999794
Atelomycterus_marmoratus	-0.06492887287669946	-0.021887236696454336	-0.11210327301293885
Brachaelurus_waddi	-0.23411848580795871	0.032910595377625036	-0.06283378490650549
Carcharhinus_acronotus	0.049216560823654776	-0.06789098330059723	0.02669682037217314
Carcharhinus_amboinensis	0.09971092551777536	0.020386817929365614	0.024952252365050522
Carcharhinus_brachyurus	0.058919621953232866	-0.02084876693746929	0.0291908041456906
Carcharhinus_dussumieri	0.0740452130286648	0.015869858542182185	-0.0052128166420449045
Carcharhinus_falciformis	0.08221121927031655	-0.06674084542398377	-0.014003490516183437
Carcharhinus_galapagensis	-0.00898036449531169	-0.013251306192662356	0.08496041532480023
Carcharhinus_hemiodon	0.09395008144069915	-0.02074716069782028	0.015582648186825906
Carcharhinus_leucas	0.053727833915086814	-0.031616865586657196	0.03751868935297204
Carcharhinus_macloti	0.002691829572140279	0.009966306444601478	-0.022077452061138765
Carcharhinus_melanopterus	0.07718187347135784	-0.028740753505164224	0.01811899878885076
Carcharias_taurus	0.04240855131884699	-0.030195209358179546	0.020424664762977093
Carcharodon_carcharias	0.012085952367694603	-0.11004694643197496	0.12277161592885973
Centrophorus_seychellorum	-0.008111002778691364	0.09201966810426868	0.027505657093036172
Centrophorus_uyato	0.017121055378078377	0.10982502048267247	0.02845922060972801
Centroscymnus_coelolepis	-0.023769375873941748	0.1803271281775689	0.06546173449897692
Centroscymnus_crepidater	0.02577763497500823	0.14584220297970835	-0.00941189305586076
Cephaloscyllium_ventriosum	0.04469530072248899	0.008361702995573254	-0.08353303107144945
Cetorhinus_maximus	0.16625238761893607	0.09735530262181934	-0.011516272536769892
Chaenogaleus_macrostoma	0.007810913332991789	-0.022182048355128832	-0.023708377838404016
Chiloscyllium_arabicum	-0.20332207737081062	-0.012874074760152497	0.021769860754691714
Chiloscyllium_griseum	-0.21895892401796718	-0.03821730355608121	0.003881330256754526
Chiloscyllium_hasseltii	-0.21777343823528741	-0.025766178358018803	0.056634039237409284
Chiloscyllium_indicum	-0.20681037864518764	-3.74E+09	0.0015516077898756458
Chiloscyllium_punctatum	-0.2460406265495855	-0.012570980554677178	-0.030912313211972468
Chlamydoselachus_anguineus	0.1719442650511723	0.00906926562786767	-0.06859961684393306
Dalatias_licha	-0.11154249971542171	0.10007892704072177	0.22989199768809185
Deania_calcea	-0.0014125888622569405	0.09981055601418266	-0.0010984629951622197
Echinorhinus_brucus	0.06873074692093732	0.049032628108499045	-0.053865913424821985
Etmopterus_spinax	0.08008802553582711	0.13603456030043573	-0.061963581647406805
Eucrossorhinus_dasypogon	-0.1619562394352475	0.053430483171778224	-0.018410371709061225
Euprotomicrus_bispinatus	0.034359389220438324	0.027818584729672254	0.13968392442756686
Eusphyra_blochii	0.13252869448772361	-0.02893563909595002	-0.007429126005471985
Galeocerdo_cuvier	0.11054829325932791	-0.0672190672128412	0.019750578826848098
Galeorhinus_galeus	0.07642384534633649	-0.028843160462649606	-0.015217331661075403
Galeus_melastomus	0.04616810401008878	-0.079389203436451	0.007035644198124326
Ginglymostoma_cirratum	-0.2316455266675906	-0.00652661971517138	-0.03857964721549786
Halaelurus_boesemani	0.06349663776914095	-0.02151892056163972	-0.15683909764255966
Halaelurus_buergeri	-0.007142956579726522	0.046185619741941145	-0.14102366482745898
Hemigaleus_microstoma	-0.10144150097720449	0.005389705901591984	-0.07672421133914488
Hemiscyllium_strahani	-0.24801014583038744	-0.08235003569166435	-0.022535051927187768
Hemiscyllium_trispeculare	-0.2276813389938009	-0.07464579263562823	0.017617254359232653
Heptranchias_perlo	0.10014620045110625	0.13058981193472313	-0.08170171638767743
Heterodontus_francisci	-0.1231684719795348	-0.14178548371596894	0.05365784703057948
Heterodontus_japonicus	-0.02094338056214958	-0.11464878726025902	0.13416060288968862
Hexanchus_griseus	0.08190141502923719	0.06752801996077708	-0.06315279292112082
Isistius_brasiliensis	0.05989067851000087	0.2220451701777875	0.20148128474508292
Isogomphodon_oxyrhynchus	0.12107170164800637	0.04235712760171104	-0.08365782832707838
Isurus_oxyrinchus	0.05355049168075693	-0.04604688258930666	0.03718227198404389
Isurus_paucus	0.060551817460582344	-0.048520318833555315	0.06461957082331195
Lamna_ditropis	0.07789271436602821	-0.06294916332510546	0.07632235671937569
Lamna_nasus	0.07639462350616356	-0.08204257548411925	0.07595009756788536
Mitsukurina_owstoni	0.11139897418160455	0.054806479135702205	-0.044786728683640344
Mustelus_asterias	-0.022858697100548213	-0.08986689706504426	-0.009508208729061614
Mustelus_henlei	-0.01955965843054346	-0.04534248743769309	-0.002719835165896881
Mustelus_higmani	0.01271612742999142	-0.0391517316354372	0.01195575550726278
Mustelus_mustelus	-0.04185149152390549	-0.05547763217155777	0.025932559142824333
Nebrius_ferrugineus	-0.1624315775650748	-0.028249457979914273	0.016164767867228196
Negaprion_acutidens	0.04348636864950594	-0.009703452837765967	0.03389577296972554
Orectolobus_japonicus	-0.1412040767601167	0.008274709126362696	0.022241856132361272
Orectolobus_maculatus	-0.14738198432234453	-0.04738025805596439	0.03251523492618824
Orectolobus_ornatus	-0.16174685513296966	0.009315502283057654	-0.023842378433452816
Oxynotus_centrina	-0.19660815231045864	0.11998479210467809	0.029028007163210044
