ID	Genus	Species	Family	Order	Sexe	Age	Habitat_5_classes	Habitat_code_5_classes	Habitat_3_classes	Habitat_code_3_classes	Prey_7_classes	Prey_code_7_classes	Prey_5_classes	Prey_code_5_classes	Feeding ref.	Ontogenetic shift
BMNH 1973.7.9.12	Centrophorus	Centrophorus_seychellorum	Centrophoridae	Squaliformes	f	ad	bathydemersal	4	demersal	2	NA	NA	NA	NA	NA	
BMNH 1973.7.9.13	Centrophorus	Centrophorus_seychellorum	Centrophoridae	Squaliformes	f	ad	bathydemersal	4	demersal	2	NA	NA	NA	NA	NA	
BMNH 1904.11.30.10	Centrophorus	Centrophorus_uyato	Centrophoridae	Squaliformes	f	ad	bathydemersal	4	demersal	2	generalist	3	fish_&_cephalopoda	1	Compagno 1984 (fish & cephalopods)	
BMNH 1904.11.30.9	Centrophorus	Centrophorus_uyato	Centrophoridae	Squaliformes	m	ad	bathydemersal	4	demersal	2	generalist	3	fish_&_cephalopoda	1	Compagno 1984 (fish & cephalopods)	
FLMNH 44978	Centroscymnus	Centroscymnus_coelolepis	Somniosidae	Squaliformes	NA	NA	bathydemersal	4	demersal	2	cephalopoda	5	fish_&_cephalopoda	1	Cortes 1999 (cephalopods 79%, n=144)	
BMNH 2000.2.24.4	Centroscymnus	Centroscymnus_crepidater	Somniosidae	Squaliformes	f	NA	bathydemersal	4	demersal	2	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 42.7%, cephalopods 48.5%, n=17); Dunn et al. 2010 (fish 90,8 %IRI, n=19); Dunn et al. 2013 (fish and invertebrates)"	
LACMNH 3211	Cephaloscyllium	Cephaloscyllium_ventriosum	Scyliorhinidae	Carcharhiniformes	f	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	"Compagno 1984 (bony fish, probably crustaceans); Ebert et al. 2013 (fish & crustaceans)"	
BMNH 1978.6.22.1	Cetorhinus	Cetorhinus_maximus	Cetorhinidae	Lamniformes	NA	NA	pelagic	3	pelagic	3	zooplankton	7	zooplankton	4	Cortes 1999 (zooplankton 100%, n=11)	
BMNH 2004.4.15.30	Cetorhinus	Cetorhinus_maximus	Cetorhinidae	Lamniformes	NA	NA	pelagic	3	pelagic	3	zooplankton	7	zooplankton	4	Cortes 1999 (zooplankton 100%, n=11)	
7389a	Chaenogaleus	Chaenogaleus_macrostoma	Hemigaleidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	generalist	3	generalist	5	Compagno 1984 (small fishes, cephalopods, crustaceans)	
36267	Chiloscyllium	Chiloscyllium_arabicum	Hemiscylliidae	Orectolobiformes	f	ad	reef	1	reef	1	generalist	3	generalist	5	Compagno 2001 (squid, shelled molluscs, crustaceans, snake eels)	
ZMA140164	Chiloscyllium	Chiloscyllium_arabicum	Hemiscylliidae	Orectolobiformes	m	ad	reef	1	reef	1	generalist	3	generalist	5	Compagno 2001 (squid, shelled molluscs, crustaceans, snake eels)	
ZMA140443	Chiloscyllium	Chiloscyllium_arabicum	Hemiscylliidae	Orectolobiformes	m	ad	reef	1	reef	1	generalist	3	generalist	5	Compagno 2001 (squid, shelled molluscs, crustaceans, snake eels)	
4184	Chiloscyllium	Chiloscyllium_griseum	Hemiscylliidae	Orectolobiformes	m	ad	reef	1	reef	1	generalist	3	generalist	5	Cortes 1999 (fish 30,3%, 33.5% crustaceans, 26.1% invertebrates, n=78)	
LACMNH 38291	Chiloscyllium	Chiloscyllium_griseum	Hemiscylliidae	Orectolobiformes	NA	NA	reef	1	reef	1	generalist	3	generalist	5	Cortes 1999 (fish 30,3%, 33.5% crustaceans, 26.1% invertebrates, n=78)	
7408a	Chiloscyllium	Chiloscyllium_hasseltii	Hemiscylliidae	Orectolobiformes	m	ad	demersal	2	demersal	2	invertebrates	2	Soft-bodied_benthic_invertebrates	2	Carpenter & Niem 1998 (invertebrates)	
