ID	Genus	Species	Family	Order	Sexe	Age	Habitat_5_classes	Habitat_code_5_classes	Habitat_3_classes	Habitat_code_3_classes	Prey_7_classes	Prey_code_7_classes	Prey_5_classes	Prey_code_5_classes	Feeding ref.	Ontogenetic shift
SIOCCS-79-45	Negaprion	Negaprion_acutidens	Carcharhinidae	Carcharhiniformes	NA	NA	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 84.4%. n=271); White et al. 2004 (fish 83.3 %V, n=20)"	
SIOCCS-79-46	Negaprion	Negaprion_acutidens	Carcharhinidae	Carcharhiniformes	NA	NA	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 84.4%. n=271); White et al. 2004 (fish 83.3 %V, n=20)"	
4373	Orectolobus	Orectolobus_japonicus	Orectolobidae	Orectolobiformes	f	ad	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	Compagno 2001 (primarily benthic fish, also skates, shark egg cases, cephalopods, shrimp)	
BMNH 1982.11.1.90	Orectolobus	Orectolobus_japonicus	Orectolobidae	Orectolobiformes	NA	ad	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	Compagno 2001 (primarily benthic fish, also skates, shark egg cases, cephalopods, shrimp)	
USNM 3999	Orectolobus	Orectolobus_maculatus	Orectolobidae	Orectolobiformes	f	NA	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	Huveneers et al. 2007 (fish 95.62 %IRI, n=39)	
SIO 91-85	Orectolobus	Orectolobus_ornatus	Orectolobidae	Orectolobiformes	NA	juv	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	Huveneers et al. 2007 (fish 87,5 % IRI, c ephalopods 7,8% IRI, n=64)	
ZMA104703	Oxynotus	Oxynotus_centrina	Oxynotidae	Squaliformes	f	ad	bathydemersal	4	demersal	2	invertebrates	2	Soft-bodied_benthic_invertebrates	2	Capape 2008 (polychaetes 60,01 %IRI, n=45)	
ZMA110745	Oxynotus	Oxynotus_centrina	Oxynotidae	Squaliformes	f	ad	bathydemersal	4	demersal	2	invertebrates	2	Soft-bodied_benthic_invertebrates	2	Capape 2008 (polychaetes 60,01 %IRI, n=45)	
ZMA113318	Oxynotus	Oxynotus_centrina	Oxynotidae	Squaliformes	f	ad	bathydemersal	4	demersal	2	invertebrates	2	Soft-bodied_benthic_invertebrates	2	Capape 2008 (polychaetes 60,01 %IRI, n=45)	
34044	Prionace	Prionace_glauca	Carcharhinidae	Carcharhiniformes	NA	NA	pelagic	3	pelagic	3	generalist	3	fish_&_cephalopoda	1	"Cortes 1999 (cephalopods 49.4 %, fish 38.5 %, chon 0.4%, n=1293); Markaida & Sosa-Nishizaki 2010 (cephalopoda 55.54 %F, crustaceans 30.68 %F, fish 21.39 %F, n=614)"	
ZMA116203	Prionace	Prionace_glauca	Carcharhinidae	Carcharhiniformes	f	juv	pelagic	3	pelagic	3	generalist	3	fish_&_cephalopoda	1	"Cortes 1999 (cephalopods 49.4 %, fish 38.5 %, chon 0.4%, n=1293); Markaida & Sosa-Nishizaki 2010 (cephalopoda 55.54 %F, crustaceans 30.68 %F, fish 21.39 %F, n=614)"	
4358	Pristiophorus	Pristiophorus_japonicus	Pristiophoridae	Pristiophoriformes	f	NA	demersal	2	demersal	2	generalist	3	generalist	5	Ebert et al. 2013 (bottom fishes, crustaceans)	
BMNH 1936.7.29.12	Pristiophorus	Pristiophorus_japonicus	Pristiophoridae	Pristiophoriformes	f	ad	demersal	2	demersal	2	generalist	3	generalist	5	Ebert et al. 2013 (bottom fishes, crustaceans)	
PSRC Uncat	Proscyllium	Proscyllium_habereri	Proscylliidae	Carcharhiniformes	NA	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Compagno 1984 (n=6, remains of bony fishes, a crab, and an unidentified cephalopod (possibly an octopus))	
LACMNH 45857-1	Pseudocarcharias	Pseudocarcharias_kamoharai	Pseudocarchariidae	Lamniformes	f	NA	pelagic	3	pelagic	3	generalist	3	generalist	5	Compagno 2001 (fish, shrimp, cephalopods, n=3)	
MM R.ter	Rhizoprionodon	Rhizoprionodon_terraenovae	Carcharhinidae	Carcharhiniformes	NA	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 66.4% n=109), Hoffmayer & Parsons 2003 (fish 66.2 %F, n=133); Bethea et al. 2004 (adult: fish >70%IRI, n=43); Bethea et al. 2006 (fish >83 %IRI, n=222); Delorenzo et al. 2014 (fish >91%IRI, n=244)"	
ZMA111362	Rhizoprionodon	Rhizoprionodon_terraenovae	Carcharhinidae	Carcharhiniformes	f	juv	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 66.4% n=109), Hoffmayer & Parsons 2003 (fish 66.2 %F, n=133); Bethea et al. 2004 (adult: fish >70%IRI, n=43); Bethea et al. 2006 (fish >83 %IRI, n=222); Delorenzo et al. 2014 (fish >91%IRI, n=244)"	
8574	Scoliodon	Scoliodon_laticaudus	Carcharhinidae	Carcharhiniformes	m	ad	demersal	2	demersal	2	decapoda	4	decapoda_&_mollusca	3	Cortes 1999 (crustaceans 60.8%, n=415), Fofandi et al. 2013 (shrimp 46.36 %IRI, fish 40.15 %IRI)	
ZMA140166	Scyliorhinus	Scyliorhinus_boa	Scyliorhinidae	Carcharhiniformes	f	juv	bathydemersal	4	demersal	2	NA	NA	NA	NA	NA	
4166	Scyliorhinus	Scyliorhinus_canicula	Scyliorhinidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	generalist	3	decapoda_&_mollusca	3	"Saldanha et al. 1995 (polychaeta 0,43 %N, decapoda 0,28 %N, fish 0,12 %N, crustaceans 0,12 %N, n=6);Cortes 1999 (crustaceans 42%, molluscs 21.5%, fish 17.2%, invertebrates 14.7%, n=7555); Olaso et al. 2005 (fish 46.3 %V, decapods 38.3 %V, n=1970); Valls et al. 2011 (CS: decapoda 35 %IRI, SB & US 72 & 78 %IRI resp.,n=900); Martinho et al. 2012 (crustaceans 63.31 %IRI, fish 31.14 %IRI, n=200); Santic et al. 2012 (decapods 76.6 %IRI, n=852)"	
32449	Scyliorhinus	Scyliorhinus_canicula	Scyliorhinidae	Carcharhiniformes	m	ad	demersal	2	demersal	2	generalist	3	decapoda_&_mollusca	3	"Saldanha et al. 1995 (polychaeta 0,43 %N, decapoda 0,28 %N, fish 0,12 %N, crustaceans 0,12 %N, n=6);Cortes 1999 (crustaceans 42%, molluscs 21.5%, fish 17.2%, invertebrates 14.7%, n=7555); Olaso et al. 2005 (fish 46.3 %V, decapods 38.3 %V, n=1970); Valls et al. 2011 (CS: decapoda 35 %IRI, SB & US 72 & 78 %IRI resp.,n=900); Martinho et al. 2012 (crustaceans 63.31 %IRI, fish 31.14 %IRI, n=200); Santic et al. 2012 (decapods 76.6 %IRI, n=852)"	
34107	Scyliorhinus	Scyliorhinus_canicula	Scyliorhinidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	generalist	3	decapoda_&_mollusca	3	"Saldanha et al. 1995 (polychaeta 0,43 %N, decapoda 0,28 %N, fish 0,12 %N, crustaceans 0,12 %N, n=6);Cortes 1999 (crustaceans 42%, molluscs 21.5%, fish 17.2%, invertebrates 14.7%, n=7555); Olaso et al. 2005 (fish 46.3 %V, decapods 38.3 %V, n=1970); Valls et al. 2011 (CS: decapoda 35 %IRI, SB & US 72 & 78 %IRI resp.,n=900); Martinho et al. 2012 (crustaceans 63.31 %IRI, fish 31.14 %IRI, n=200); Santic et al. 2012 (decapods 76.6 %IRI, n=852)"	
ZMA111399a	Scyliorhinus	Scyliorhinus_canicula	Scyliorhinidae	Carcharhiniformes	m	ad	demersal	2	demersal	2	generalist	3	decapoda_&_mollusca	3	"Saldanha et al. 1995 (polychaeta 0,43 %N, decapoda 0,28 %N, fish 0,12 %N, crustaceans 0,12 %N, n=6);Cortes 1999 (crustaceans 42%, molluscs 21.5%, fish 17.2%, invertebrates 14.7%, n=7555); Olaso et al. 2005 (fish 46.3 %V, decapods 38.3 %V, n=1970); Valls et al. 2011 (CS: decapoda 35 %IRI, SB & US 72 & 78 %IRI resp.,n=900); Martinho et al. 2012 (crustaceans 63.31 %IRI, fish 31.14 %IRI, n=200); Santic et al. 2012 (decapods 76.6 %IRI, n=852)"	
24037	Scyliorhinus	Scyliorhinus_stellaris	Scyliorhinidae	Carcharhiniformes	m	ad	reef	1	reef	1	cephalopoda	5	fish_&_cephalopoda	1	"Saldanha et al. 1995 (decapoda 0,54 %N, zooplankton 0,38 %N, fish 0,22 %N, crus 0,22 %N, n=26); Cortes 1999 (ceph 43.8%, fish 29.5%, n=1426)"	
34047e	Scyliorhinus	Scyliorhinus_stellaris	Scyliorhinidae	Carcharhiniformes	m	ad	reef	1	reef	1	cephalopoda	5	fish_&_cephalopoda	1	"Saldanha et al. 1995 (decapoda 0,54 %N, zooplankton 0,38 %N, fish 0,22 %N, crus 0,22 %N, n=26); Cortes 1999 (ceph 43.8%, fish 29.5%, n=1426)"	
34047f	Scyliorhinus	Scyliorhinus_stellaris	Scyliorhinidae	Carcharhiniformes	f	ad	reef	1	reef	1	cephalopoda	5	fish_&_cephalopoda	1	"Saldanha et al. 1995 (decapoda 0,54 %N, zooplankton 0,38 %N, fish 0,22 %N, crus 0,22 %N, n=26); Cortes 1999 (ceph 43.8%, fish 29.5%, n=1426)"	
37980	Scymnodalatias	Scymnodalatias_albicauda	Somniosidae	Squaliformes	f	ad	bathypelagic	5	pelagic	3	fish	1	fish_&_cephalopoda	1	fish (personal observation n=1)	
37210	Sphyrna	Sphyrna_corona	Sphyrnidae	Carcharhiniformes	m	NA	demersal	2	demersal	2	NA	NA	NA	NA	NA	
7393d	Sphyrna	Sphyrna_lewini	Sphyrnidae	Carcharhiniformes	m	NA	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 61.9%, crustaceans 22%, cephalopods 15.5%, n=1253); Bush 2003 (crustaceans 62.08 %IRI, fish 32.49 %IRI, n=779); Junior et al. 2009 (fish, n=50); Bornatowski et al. 2014 (fish 69.9 %IRI, squid 16.6 %IRI, elasmobranchs 6.3%IRI, n=123)"	
MM S.mok	Sphyrna	Sphyrna_mokarran	Sphyrnidae	Carcharhiniformes	NA	NA	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	"Strong et al. 1990 (stingray); Cortes 1999 (fish 43,5%, chon 41,7%, n=458)"	
4212	Sphyrna	Sphyrna_tiburo	Sphyrnidae	Carcharhiniformes	f	ad	reef	1	reef	1	decapoda	4	decapoda_&_mollusca	3	"Cortes 1999 (crustaceans 71.5%, n=482); Bethea et al. 2007 (NWF: YOY plants 62,1 %IRI n=67, crabs 63,1 %IRI juv n=82, 73,1 %IRI ad n=38; TB: juv, ad crabs 46,6 %IRI n=77, 49,8 %IRI n=87; FB juv, ad crustaceans 38,1 %IRI n=72, 29,7 %IRI n=79) "	
37209	Sphyrna	Sphyrna_tiburo	Sphyrnidae	Carcharhiniformes	m	NA	reef	1	reef	1	decapoda	4	decapoda_&_mollusca	3	"Cortes 1999 (crustaceans 71.5%, n=482); Bethea et al. 2007 (NWF: YOY plants 62,1 %IRI n=67, crabs 63,1 %IRI juv n=82, 73,1 %IRI ad n=38; TB: juv, ad crabs 46,6 %IRI n=77, 49,8 %IRI n=87; FB juv, ad crustaceans 38,1 %IRI n=72, 29,7 %IRI n=79) "	
37213	Sphyrna	Sphyrna_tiburo	Sphyrnidae	Carcharhiniformes	f	ad	reef	1	reef	1	decapoda	4	decapoda_&_mollusca	3	"Lessa & Almeida 1998 (crustaceans 92,79 %IRI, n=191); Cortes 1999 (crustaceans 71.5%, n=482); Bethea et al. 2007 (NWF: YOY plants 62,1 %IRI n=67, crabs 63,1 %IRI juv n=82, 73,1 %IRI ad n=38; TB: juv, ad crabs 46,6 %IRI n=77, 49,8 %IRI n=87; FB juv, ad crustaceans 38,1 %IRI n=72, 29,7 %IRI n=79) "	
MM S.tud	Sphyrna	Sphyrna_tudes	Sphyrnidae	Carcharhiniformes	NA	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Castro 1999 (juv: shrimp 90%, fish 18%, n=39, ad: fish 89%, shrimp 11%, n=116)	
RMNH S.tud	Sphyrna	Sphyrna_tudes	Sphyrnidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Castro 1999 (juv: shrimp 90%, fish 18%, n=39, ad: fish 89%, shrimp 11%, n=116)	
ZMA106183	Sphyrna	Sphyrna_tudes	Sphyrnidae	Carcharhiniformes	m	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Castro 1999 (juv: shrimp 90%, fish 18%, n=39, ad: fish 89%, shrimp 11%, n=116)	
ZMA109128	Sphyrna	Sphyrna_tudes	Sphyrnidae	Carcharhiniformes	f	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Castro 1999 (juv: shrimp 90%, fish 18%, n=39, ad: fish 89%, shrimp 11%, n=116)	
ZMA109130	Sphyrna	Sphyrna_tudes	Sphyrnidae	Carcharhiniformes	NA	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Castro 1999 (juv: shrimp 90%, fish 18%, n=39, ad: fish 89%, shrimp 11%, n=116)	
4206	Sphyrna	Sphyrna_zygaena	Sphyrnidae	Carcharhiniformes	NA	NA	pelagic	3	pelagic	3	cephalopoda	5	fish_&_cephalopoda	1	"Cortes 1999 (cephalopods 68.9%, fish 29.8%, n=243); Bornatowski et al. 2014 (cephalopods 61.4 %IRI, teleosts 38.6 %IRI, n=77)"	
ZMA108725	Sphyrna	Sphyrna_zygaena	Sphyrnidae	Carcharhiniformes	f	NA	pelagic	3	pelagic	3	cephalopoda	5	fish_&_cephalopoda	1	"Cortes 1999 (cephalopods 68.9%, fish 29.8%, n=243); Bornatowski et al. 2014 (cephalopods 61.4 %IRI, teleosts 38.6 %IRI, n=77)"	
ZMA116130	Squalus	Squalus_acanthias	Squalidae	Squaliformes	m	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 41.6%, cephalopods 5,2%, crustaceans 35.2%, n=19259); Laptikovsky et al. 2001 (fish 77,6 %O, cephalopoda 24,5 %O, n=134); Alonso et al. 2002 (cephalopoda 63 %IRI, fish 28 %IRI, n=119); Dunn et al. 2013 (fish 84 %IRI, n=295)"	
ZMA111207	Squalus	Squalus_cubensis	Squalidae	Squaliformes	f	ad	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 81,9%, cephalopods 9.1%, n=12)	
34046	Squalus	Squalus_megalops	Squalidae	Squaliformes	m	ad	bathydemersal	4	demersal	2	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 59.9%, cephalopods 37.5%, n=98)	
4322	Squalus	Squalus_suckleyi	Squalidae	Squaliformes	m	ad	demersal	2	demersal	2	NA	NA	NA	NA	NA	
ZMA108696	Squatina	Squatina_africana	Squatinidae	Squatiniformes	f	ad	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 71.4%, cephalopods 28.6%, n=11)	
ZMA113049	Squatina	Squatina_japonica	Squatinidae	Squatiniformes	f	juv	demersal	2	demersal	2	NA	NA	NA	NA	NA	
24047	Squatina	Squatina_squatina	Squatinidae	Squatiniformes	m	ad	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 67.1%, cephalopods 6.7%, n=33)	
24270	Squatina	Squatina_squatina	Squatinidae	Squatiniformes	f	ad	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 67.1%, cephalopods 6.7%, n=33)	
ZMA115140	Squatina	Squatina_squatina	Squatinidae	Squatiniformes	m	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 67.1%, cephalopods 6.7%, n=33)	
7401a	Stegostoma	Stegostoma_fasciatum	Stegostomatidae	Orectolobiformes	m	ad	reef	1	reef	1	mollusca	6	decapoda_&_mollusca	3	Cortes 1999 (molluscs 100%, n=6)	
7401b	Stegostoma	Stegostoma_fasciatum	Stegostomatidae	Orectolobiformes	f	ad	reef	1	reef	1	mollusca	6	decapoda_&_mollusca	3	Cortes 1999 (molluscs 100%, n=6)	
LACMNH 38139	Stegostoma	Stegostoma_fasciatum	Stegostomatidae	Orectolobiformes	NA	NA	reef	1	reef	1	mollusca	6	decapoda_&_mollusca	3	Cortes 1999 (molluscs 100%, n=6)	
ZMA108703	Triaenodon	Triaenodon_obesus	Carcharhinidae	Carcharhiniformes	f	juv	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 79.2%, cephalopods 17.4%, n=31)	
ZMA110760	Triaenodon	Triaenodon_obesus	Carcharhinidae	Carcharhiniformes	f	ad	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 79.2%, cephalopods 17.4%, n=31)	
4298	Triakis	Triakis_semifasciata	Triakidae	Carcharhiniformes	m	ad	demersal	2	demersal	2	generalist	3	generalist	5	"Cortes 1999 (crustaceans 43.7%, fish 26.4%, invertebrates 20.2%, n=506); Ebert & Ebert 2005 (fish eggs 48.0 %IRI, crabs (41.4 %IRI, n=196)"	
ZMA114250	Triakis	Triakis_semifasciata	Triakidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	generalist	3	generalist	5	"Cortes 1999 (crustaceans 43.7%, fish 26.4%, invertebrates 20.2%, n=506); Ebert & Ebert 2005 (fish eggs 48.0 %IRI, crabs (41.4 %IRI, n=196)"	
