specimen,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42
Carcharhinus_dussumieri,-0.0748169156348554,-0.0180241016760687,-0.0271225201808221,0.0234808293545691,0.0474985073281687,-0.0566193060416048,-0.023230834479902,-0.0279563001251138,0.0259178538018622,-0.00217309123461446,0.0298421238717052,0.0226422961803438,0.000629454982127338,0.00232867912053459,0.00442988377033352,0.0187073674457152,0.00393806484819037,-0.000951305751389201,-0.0108837244455322,0.00573849936758973,0.00281077105117798,0.00298747447151685,0.0132784833582082,-0.00793890669439319,0.00755502385280676,0.01051684807662,0.00396929085941607,0.00138465076750989,-0.00697907489410091,-0.0063492499589892,-0.00346312378810132,-0.00514124786697498,0.00133730371904831,0.00224196180641882,-8.29277012285303E-05,1.34115808736457E-15,-7.50267903359969E-17,3.04877650902924E-16,2.42861286636753E-17,8.10983225019157E-17,-1.07444435293313E-16,3.7621815385247E-17
Chaenogaleus_macrostoma,-0.0045926549866137,-0.0282212463068898,0.00637272540039743,0.0634975484582832,0.0385188350289168,-0.0482125355114179,0.00659246074193612,-0.0409561573358949,0.0702073862930268,0.00079074578932269,0.00892274073844608,-0.00533687665020997,-0.0241200931442931,-0.000267939348184315,0.0046961573840528,0.0295559330602258,-0.000405117786231526,-0.023949166888173,0.00506485810855755,-0.0153218791288656,-0.0247957322365008,-0.0229096572731199,0.0116477420259106,0.0127669632567249,0.0114271331620998,0.00769686409539662,0.00517415707243699,0.00189483805266175,-0.0016542437869861,0.00550511036444052,0.0078104361027053,-0.000208768200974314,0.00231149297582767,-0.00591466642553599,0.000770702933685367,2.31195271260809E-15,5.70290342727375E-17,-8.33534630206856E-16,-1.92554305833426E-16,1.05818132034585E-16,-4.11454724458249E-17,-1.20129600711394E-16
Chiloscyllium_indicum,0.181731104826427,-0.0163991978911007,-0.0665995740110097,0.0504882423684794,0.0410524903916661,-0.000770948598571579,0.0540318325868859,-0.0449768785735949,0.0448145744066666,-0.0121527778610808,-0.00717407140647696,-0.0188354460759125,0.0630163531414461,0.0106762580100495,0.0368537596795201,-0.00344307818016982,-0.0177710254966271,-0.033406533957511,0.0141175907202023,0.00383901421008858,0.0273139995639243,-0.0260521625411849,0.00207328983667251,-0.0131240292443158,-0.00960172229196062,0.00135032743966848,-0.0165723289146592,0.0046580096818745,-0.000477153663702905,0.00833205656026814,0.000405742990095765,0.00733241634299918,0.000571855062811693,0.00530462648490238,0.00534474528240471,-2.91823856746198E-15,-7.29017540779253E-16,1.50053580671994E-16,9.06393016197882E-16,1.56558793706907E-16,2.55329611620336E-17,-3.55618312575245E-17
Chiloscyllium_hasselti,0.221371495348921,-0.0714725771452468,0.00104549818035376,0.0116117790730952,0.0549713523157979,-0.0362472824831609,-0.0267275423771962,-0.00896992235443084,0.0217741410393805,-0.0750086983157773,-0.0227072728627295,0.0335049939569662,0.0132631784740493,0.0276590219464974,-0.0270847348611287,0.00228903428768965,-0.0252237407830408,-0.000978265523238964,-0.03713849824883,-0.00367627888548241,0.0242207739593245,-0.000458090919089219,-0.0206847929018244,0.00534137498140006,0.00414607585457086,0.00347362296873582,0.0198294018257485,0.0217121835681943,-0.011116038166672,-0.00407313695092788,-0.0116371648132487,-0.00314023745920097,-0.00979302193089632,-0.000959686875410889,0.00109546941049613,-3.38964967205868E-15,-4.0766001685455E-17,-1.01481323344643E-16,-2.9316826744008E-16,1.64798730217797E-17,-1.56125112837913E-17,-8.63024929298462E-17
Eucrossorhinus_dasypogon,0.144000794447599,0.0808382990962426,-0.0335314596213258,-0.0253165261784251,0.189602580387285,0.00546977975299288,0.0844547704619169,-0.0299217967004674,-0.00683530387237027,0.0280404594850629,0.000663007447626128,0.000132387218217078,-0.00648637785310268,-0.0114902226685963,0.00825500156734251,-0.00202261877200682,0.0135356865462593,0.00158738114017963,-0.00630627154288502,0.00396898987179865,-0.000206047506918031,-0.00179908061845305,0.00628412443536798,0.00485924183413671,-0.000225080416913061,-0.00491657285624903,0.00590364001164006,0.00652309632277713,-0.00418061449977383,-0.00404825001460614,0.00226119175595221,-0.00195098339007805,-0.00100264679407497,-0.0059081783802069,-0.0043452103057834,5.13911829758129E-16,-6.1105634441283E-16,-6.24500451351651E-17,-2.98372437868011E-16,2.87096735274162E-16,3.07371315899641E-17,-5.87637577487143E-17
Scoliodon_laticaudus,-0.166413165217158,-0.0453982920671471,-0.00220838090644953,-0.0155539934407049,0.0486208146208043,-0.0174365266761797,-0.028642676878621,0.0262049699493891,0.0429721896020406,-0.0122474103682396,0.0195599287534294,0.00505408845642094,-0.00368041160871675,-0.0208858282696155,-0.0400843490766046,-0.0129020277250384,0.0296428575289617,-0.00171923684252612,0.00314608048598408,0.00806682217730824,-0.00991858229809768,-0.00819279347573514,-0.0106349928739178,0.00299551941801833,0.0125660200782637,0.0171871835677301,0.00871997172958583,-0.0219488695552764,-0.00288154122128825,0.00606020858922277,-0.00637820814992155,0.00695365066476586,-0.00415937111413076,-0.00614888973073423,-0.00108921802166618,-2.1543097167287E-15,8.64868072991687E-16,-1.06034972469082E-16,9.32413868337534E-17,-1.06034972469082E-16,-8.38765905689098E-17,8.71698546678346E-17
Galeus_melastomus,-0.0538446762563733,-0.0320514373345064,0.0706753016464204,0.0131551629962097,0.00659304998909021,0.080718786247614,-0.00583342897060926,-0.00674115195693632,-0.0903336092056324,0.00231971323222977,-0.072077892236148,0.0860811865919213,-0.0159971079789606,0.0111517867804668,-0.0010095152257404,0.0166525213032277,-0.024550324868222,0.0268646979267044,0.00183909119831226,0.00928771371895814,-0.00795510927141594,-0.0105456329122325,0.0210310940842104,0.0157590462908427,0.00490099441055463,-0.000816145051154578,-0.0027723744469317,-0.00347034762732031,-0.0132492408025429,0.00352909601770614,-0.00438010429973775,-0.00100934180344859,0.0104270943345312,0.00263378750240625,0.00242354119878761,-1.01421692225157E-15,6.67380647273452E-16,-7.10694524064248E-16,1.92771146267923E-16,-1.36284213081428E-16,-4.51163629025531E-17,8.70072243419617E-17
Squatina_squatina,-0.0863182927873704,0.0607912140351402,0.0794227384642989,-0.0177768287668965,0.0226752378870205,-6.43420703929228E-05,0.0031650223845606,0.0973995267756125,0.0397138182255794,0.0389513155367514,-0.00287772647711193,0.0136679531324901,-0.0099372259005522,0.00608297149514849,0.00661403029351115,-0.0134148388294593,0.017115225435523,0.00924108271032689,-0.0129309912134823,-0.0192084620464837,-0.00116142835949056,-0.0160941358500398,0.00285619878290577,-0.0165040537527746,-0.00921510917898798,0.00488679632675051,-0.000735069740334395,-0.00152662143819596,0.00229394975356331,-0.000901807602612671,-0.00293041195933761,-0.00639644796772086,-0.000506254776349031,0.000950861635267224,-0.00126050328754451,2.50342281626903E-16,3.82723366887383E-17,-3.54967791271754E-16,2.08166817117217E-16,6.09321620936853E-17,-1.08582847574423E-16,7.86588676138233E-17
Halaelurus_boesemani,-0.104045462272965,0.0893871408998163,0.0485700636722349,0.127672177422694,-0.0559847406770347,0.00846188976938627,-0.0254266944637926,-0.0138866721481177,0.0156113766598544,0.026730431799027,0.00156583940232629,0.0116312876880789,-0.00475764695154892,-0.00548180820183291,0.0212866553011991,-0.00187399429301901,0.00280053503525181,0.0140646225961443,0.0208545743445983,0.0170384107699346,0.022036105007554,-0.0147172937382072,-0.00489752039360752,-0.00728097680185741,-0.00430137147083474,0.00485346609441256,0.0144238040397777,-0.00959698501268385,0.00340527380051561,-0.000247671203498552,0.00669672587891706,0.0119397830490813,0.00642033486552131,0.00450510636862345,0.00491445808769293,2.49453235845465E-15,4.03323208164608E-16,-6.70470623465036E-16,-3.46944695195361E-18,-2.77555756156289E-17,-1.17202254845683E-16,-1.12757025938492E-16
Prionace_glauca,-0.105690067058299,-0.0374005052460454,-0.0133064731401787,0.00692598316294044,0.0125167896056272,-0.0458297193845701,-0.011882147722916,-0.00537174340790045,-0.0327960206896624,-0.00125560017008575,0.0145708633177519,0.00627037489361376,0.00839705250854795,0.030615958824617,0.0145099462879088,-0.000806185525263164,0.00131981578755323,-0.00115995084101604,-0.0153308619012145,-0.000438501431571443,0.00645292326191654,-0.00423013758302251,0.00649154527835128,-0.00760863511315779,-0.00439195427783431,-0.00413635416134467,0.00136113565493129,-0.0061500368840767,-0.000289442010537635,-0.000108233002456068,-0.00405824739525745,0.0032378625488418,0.00468770000529719,-0.00729213603572077,-0.000968211134537395,3.24559308465325E-16,-4.06494499519128E-16,6.27149970410662E-16,-1.88583415376697E-16,-6.41915448747199E-17,-3.53043332415592E-17,-7.25907235796935E-18
