Id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35
Alopias_superciliosus	0.10285390838068031	-0.015770168321212804	-0.019631434032090306	0.020603242939113788	0.010779141617785582	-0.019684336142214882	0.0177502409270839	0.01649568712952198	-0.04171561421138098	-0.009865263439197984	0.002285531587347138	0.004621670767659432	-0.005767592969190779	0.001384966300557909	-0.013025391296124181	0.019737175398175308	-0.022169125141270837	-0.0268384771290227	-0.010259393838050019	1.6874271421531833E-4	-0.026812303869069947	-4.909013606020033E-5	0.003404404025233815	-0.001751069161035013	0.005842087718999448	-0.0019415164344459875	0.00963583168900205	0.010414880358073789	-0.009527394308662163	-0.0011696871643321848	0.0030214222997361232	0.008362152392321263	-0.0039046683553399493	6.597475421905744E-4	0.001597204469074019
Alopias_vulpinus	0.07880917635160163	-0.009759543688684626	-0.002758543904254984	0.021798555692499444	0.03569091171286559	0.01418684790794405	0.033810330489021614	-4.351753797783758E-4	-0.046531055850696355	-0.026285672686643707	0.021990933881445518	-6.674354275232434E-4	-0.004099058310468761	-0.0035378796218882153	-2.830940744487718E-4	0.020675637682171108	0.01351852168214446	-0.027984779303926236	0.0023173904224996367	-0.006119245274953459	-0.014599714738194266	-0.010909653295317734	0.010037991542542236	-0.003977465952053956	0.0010366941694032988	-0.010075389260857435	-0.00911724321445737	0.0030173722183349703	-0.0014950312924644363	0.0022555666310722583	0.008230466697653004	9.46930167062508E-4	0.0026807509326846625	-0.0017832521416674557	4.228672076281914E-4
Apristurus_laurussonii	0.014649010115313641	0.04436143543491516	-0.0723588545179257	-0.05396666886799855	-0.044580677691696505	0.004646407781018069	-0.025210589806421803	-0.0405260572862443	-0.006058390044317219	-0.001967209813292585	-0.03983740839564303	-0.014447754003500641	-0.021224779659984802	0.03619326075274215	-0.012695546432408803	-0.030969166302078754	0.005597896785951238	-0.011802676616680635	0.004354739916332655	0.0029579752656887716	-0.016552200213689645	0.0071093532416841715	-0.01504455672104667	0.0033925341756879538	-0.007987545980268473	0.027265281975360864	-0.010779241328511864	0.005530374494170883	-0.005442589675815864	-0.013158031259133092	-7.184938847126755E-4	0.003938016285389234	-0.001574917126527723	-0.0014001248676783682	-0.004151071088948321
Atelomycterus_macleayi	-0.06666146046885041	-0.005190131666041855	-0.13817612181999794	-0.01975257018978506	-0.010344192149743074	-0.013595966630046485	-0.011256094376533268	0.019227645534494	0.049912145438576985	-0.02277887351288721	-0.006609763934564711	0.026327894045713934	-0.004920585491534109	-2.698191076119411E-4	-0.016842205771888146	0.01784361494910139	-0.003877820722886582	-0.0050209485484755826	0.016124555661375346	-0.0013435434292348232	-0.006712243970115812	-0.01352925503086228	0.01829119259300422	-0.003992278097564997	0.0017498240203802262	0.0028079662339147715	0.008253845951380248	-1.9514094430125666E-4	0.0018814268020740197	-0.002586022798666171	0.001632419846330043	-0.004632120720730048	-0.0013818958949841998	-0.001950700166353531	6.076695591704149E-4
Atelomycterus_marmoratus	-0.06492887287669946	-0.021887236696454336	-0.11210327301293885	-0.02900990087382748	-0.01732692743909762	-0.012975578169433377	-0.004203007366294769	0.005671207959010991	0.03655561039400513	-0.02223957846760623	0.002867426345813932	0.019249578500931282	-0.007184364421116616	0.0024754670051178908	-0.010482097194941083	0.017430187435177696	-0.011247371471880324	0.00535014895013751	0.01062358022473716	0.01272843999643563	-0.011587652532454095	-0.016386840072504866	0.006716721116165295	-0.0027784348869219107	0.0021462374440985752	5.918579174673167E-4	0.0031784692163633623	0.004034385062363092	-9.446308262988124E-4	-0.0024068099839451504	-0.0033619804375022337	-0.0015091772100841467	0.003478402059596672	0.0019934363414047447	0.001308450903420917
Brachaelurus_waddi	-0.23411848580795871	0.032910595377625036	-0.06283378490650549	-0.05300602497302305	-0.05270057362642831	0.036861614115888494	0.030133899132121562	-0.01629944427777286	-0.024575388919842796	0.007274141279783626	0.02222120054796327	0.021064324621154963	-0.014623028495682797	-0.019474937316555467	0.0021762064331840416	0.016982046177520024	-0.011784976377680128	0.006508194362916751	-0.011572746977299136	-0.007351513550635832	0.01679967714181916	-0.012126609315698804	-0.010384140121144633	-6.280749210257723E-4	0.015357493193488593	0.007472580024519828	0.00566779613643278	-0.002388798407199265	-0.002036293263537014	-0.003695419252567312	0.005592145400636243	0.009762116788190618	-0.0026085352077702966	0.0011128519893987027	9.519812086433252E-4
Carcharhinus_acronotus	0.049216560823654776	-0.06789098330059723	0.02669682037217314	-0.04480455099085628	-0.018471307491076453	0.022449329345298467	-7.645398916359089E-4	0.03554145208635182	0.024796592011463153	-0.010995606547364329	0.011360990479801911	0.013373836575187295	-0.012182837913897874	-0.005987656352910716	0.019856441321786107	-0.010944816524599249	-0.0015447792227292316	-0.011423860829648646	0.0019254760456512503	0.013784125119038773	-0.004616656585512093	0.011346746433567183	-0.004264679734291589	-0.007923828721104387	-0.001541584302704578	-0.004229828170183824	0.0022591052756541514	0.00616297424316928	-0.007998785417896703	0.0019830573324803296	-0.0017966306662039416	0.002581406629226778	-0.0033688490768547475	-0.0023888661166658323	-0.0018220899463044834
Carcharhinus_amboinensis	0.09971092551777536	0.020386817929365614	0.024952252365050522	-0.040439779611118463	-0.004631115793964283	0.036144320036032324	-0.009220070081441085	6.091974303877785E-5	-0.03252330770343583	0.004030459941251039	-0.01233877612140962	-0.013310086922497364	-0.0058139480347536385	0.01832125090085846	0.00806949625709467	-0.0075791146080066	-0.007355013925604415	1.2320554641714518E-4	0.011842878856434312	-0.020612853426746902	0.020533998756769815	-8.501850795447101E-4	0.006064383098671899	-0.004946620854590706	0.001543575319524818	0.002870519305982657	0.0018093616194739858	-0.0030889225441351064	0.004157272708504489	-0.002355624561191605	-6.297907579193979E-4	-0.00161968242931929	0.0032278008919295626	-0.0021721052316425672	3.032784514213166E-4
Carcharhinus_brachyurus	0.058919621953232866	-0.02084876693746929	0.0291908041456906	-0.028802188572876575	-0.020191120227326675	0.03822821841987077	0.03636982612205404	0.010203847729377569	0.017044943098914224	-0.0050423875957696105	-0.0013090379208984097	-0.031690315034910765	0.009125441190387279	0.0019587194289617384	-0.024344682579160472	0.0055333395587698715	-0.007964956443273958	0.015639781457579455	0.026590787672544178	0.011950663357408818	0.005022359205342325	-0.00822794886610888	0.004531504165384995	-0.0023713590103953113	0.012621111824143548	-0.0015028062580584216	-0.008330544780846756	0.007065994402761805	-0.0012300321497225016	0.0020387070557964654	0.00394965603149644	-0.008241922136970467	-0.005261022127548196	0.0044671229080617825	-7.477423273484707E-4
Carcharhinus_dussumieri	0.0740452130286648	0.015869858542182185	-0.0052128166420449045	-0.0750387155821105	0.006998814001570133	0.029509540792091775	-0.005680226355672104	-0.027096815446116484	-0.031054160398160127	-0.0018572442041986193	-0.023058334562578026	0.007332742483320177	-0.0026737466911567476	0.005273131607889896	7.315561603375919E-4	0.009079832207095238	-0.009516416803618626	0.0032916926039457646	9.504533887413139E-4	-0.004714691678497496	0.012911117417570077	7.051708535688195E-4	0.014480078045221842	0.003956952153305122	0.0026733113643439667	-0.002464958916308088	-0.005155015251800037	0.0027755212692564674	-0.004306340661241128	-0.006594485903959536	-0.011327125411603866	-9.942631565974423E-4	5.598438354156897E-4	0.0029335199222606753	3.263768107581645E-4
