state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
8760000	0.000	0.000	0.000	0	0	0.000	0.028	0.063	118.54	-39.50	-0.00	0.00
8770000	0.000	0.839	0.000	2	0	0.000	0.024	0.059	120.47	-40.92	-0.00	-0.69
8780000	0.000	0.017	0.000	2	0	0.000	0.024	0.032	125.19	-40.92	-0.00	-0.69
8790000	0.000	0.000	0.000	1	0	0.000	0.031	0.034	121.82	-39.86	0.00	-7.17
8800000	0.000	0.000	0.000	0	0	0.000	0.021	0.054	118.39	-39.50	0.00	0.00
8810000	0.000	0.000	0.000	0	0	0.000	0.032	0.031	119.60	-39.50	-0.00	0.00
8820000	0.000	0.000	0.000	1	0	0.000	0.028	0.037	125.47	-39.86	0.00	-7.46
8830000	0.000	0.000	0.000	0	0	0.000	0.025	0.075	117.15	-39.50	0.00	-6.59
8840000	0.000	0.000	0.000	2	0	0.000	0.029	0.045	129.96	-40.92	-0.00	0.01
8850000	0.000	0.001	0.000	2	0	0.000	0.035	0.020	129.73	-40.92	0.00	0.69
8860000	0.000	0.000	0.000	1	0	0.000	0.026	0.053	124.55	-39.86	0.00	0.00
8870000	0.000	0.396	0.000	2	0	0.000	0.028	0.028	114.44	-40.92	0.00	-7.00
8880000	0.000	2.217	0.000	3	0	0.000	0.028	0.063	121.70	-42.39	0.00	0.00
8890000	0.000	0.039	0.000	2	0	0.000	0.032	0.001	124.65	-40.92	-0.00	-0.69
8900000	0.000	0.000	0.000	1	0	0.000	0.035	0.004	120.72	-39.86	0.00	-7.43
8910000	0.000	0.000	0.000	0	0	0.000	0.023	0.004	119.36	-39.50	0.00	0.00
8920000	0.000	0.000	0.000	1	0	0.000	0.035	0.009	122.35	-39.86	0.00	-7.44
8930000	0.000	0.000	0.000	2	0	0.000	0.036	0.016	126.06	-40.92	-0.00	0.00
8940000	0.000	0.003	0.000	1	0	0.000	0.038	0.002	117.49	-39.86	0.00	-6.93
8950000	0.000	0.001	0.000	1	0	0.000	0.035	0.020	123.76	-39.86	0.00	0.69
8960000	0.000	0.028	0.000	2	0	0.000	0.026	0.030	128.52	-40.92	-0.00	0.00
8970000	0.000	0.000	0.000	0	0	0.000	0.025	0.059	118.16	-39.50	0.00	-7.15
8980000	0.000	9.174	0.000	2	0	0.000	0.032	0.003	121.94	-40.93	-0.29	-0.69
8990000	0.000	0.014	0.000	1	0	0.000	0.030	0.015	121.74	-39.86	-0.00	0.00
9000000	0.000	0.001	0.000	2	0	0.000	0.036	0.032	128.94	-40.92	-0.00	0.00
9010000	0.000	0.881	0.000	2	0	0.000	0.026	0.060	125.30	-40.92	0.00	0.00
9020000	0.000	1.049	0.000	3	0	0.000	0.019	-0.021	117.25	-42.39	-0.00	0.00
9030000	0.000	0.019	0.000	3	0	0.000	0.035	0.041	127.04	-42.39	0.00	-7.83
9040000	0.000	0.001	0.000	1	0	0.000	0.028	0.040	124.68	-39.86	0.00	0.69
9050000	0.000	0.000	0.000	1	0	0.000	0.025	0.030	124.63	-39.86	-0.00	0.05
9060000	0.000	0.000	0.000	1	0	0.000	0.025	0.021	125.26	-39.86	0.00	-7.44
9070000	0.000	0.000	0.000	0	0	0.000	0.030	0.055	118.80	-39.50	0.00	0.00
9080000	0.000	0.001	0.000	2	0	0.000	0.019	0.024	120.78	-40.92	0.00	0.00
9090000	0.000	0.000	0.000	1	0	0.000	0.023	0.026	124.62	-39.86	0.00	-7.26
