state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
6690000	0.000	2369.944	0.000	1	0	0.000	0.004	-0.005	116.11	-41.11	-0.00	0.00
6700000	0.000	64.551	0.000	1	0	0.000	0.003	0.028	118.17	-40.83	0.00	-0.17
6710000	0.000	144.109	0.000	1	0	0.000	0.001	-0.009	117.12	-40.89	-0.28	-0.69
6720000	0.000	0.347	0.000	2	0	0.000	0.007	-0.009	121.96	-41.80	-0.00	0.00
6730000	0.000	1.616	0.000	2	0	0.000	0.001	0.013	120.10	-41.80	-0.00	0.00
6740000	0.000	0.062	0.000	1	0	0.000	0.004	-0.041	120.88	-40.75	-0.00	0.00
6750000	0.000	0.057	0.000	1	0	0.000	0.010	-0.081	115.28	-40.75	0.00	0.69
6760000	0.000	0.771	0.000	2	0	0.000	0.005	-0.063	116.85	-41.80	-0.00	0.00
6770000	0.000	0.002	0.000	1	0	0.000	0.002	0.017	120.06	-40.75	-0.00	0.69
6780000	0.000	0.002	0.000	1	0	0.000	0.003	-0.022	123.20	-40.75	0.00	0.00
6790000	0.000	0.073	0.000	1	0	0.000	0.014	0.079	116.99	-40.75	0.00	0.00
6800000	0.000	0.952	0.000	1	0	0.000	0.003	-0.044	116.96	-40.75	-0.00	-0.69
6810000	0.000	0.694	0.000	1	0	0.000	0.006	-0.032	119.42	-40.75	-0.00	-0.69
6820000	0.000	4.157	0.000	1	0	0.000	0.003	-0.028	119.60	-40.75	0.00	-6.41
6830000	0.000	2872.349	0.000	1	0	0.000	0.020	-0.018	112.74	-41.12	-0.76	-0.69
6840000	0.000	375074.437	0.000	1	0	0.000	0.004	-0.004	111.67	-41.51	0.09	0.00
6850000	0.000	5119064.322	0.000	2	0	0.000	0.003	0.033	109.17	-42.78	-0.00	0.00
6860000	0.000	83592.006	0.000	3	0	0.000	0.002	-0.079	113.50	-43.92	-0.00	0.00
6870000	0.000	113.652	0.000	2	0	0.000	0.003	0.066	116.59	-41.93	-0.00	0.00
6880000	0.000	19.756	0.000	2	0	0.000	0.010	0.025	116.13	-41.82	-0.02	0.00
6890000	0.000	0.089	0.000	2	0	0.000	0.005	0.015	120.79	-41.80	-0.00	0.00
6900000	0.000	0.613	0.000	1	0	0.000	0.000	0.049	120.22	-40.75	0.00	0.00
6910000	0.000	0.165	0.000	2	0	0.000	0.019	-0.031	113.51	-41.80	-0.00	-0.69
6920000	0.000	4.868	0.000	2	0	0.000	0.007	-0.025	113.79	-41.81	0.00	-6.10
6930000	0.000	0.022	0.000	1	0	0.000	0.006	-0.026	120.84	-40.75	0.00	0.00
6940000	0.000	0.007	0.000	1	0	0.000	0.008	-0.044	121.05	-40.75	0.00	-6.18
6950000	0.000	0.677	0.000	1	0	0.000	0.011	-0.063	118.00	-40.75	0.00	-6.32
6960000	0.000	706.312	0.000	2	0	0.000	0.012	0.039	114.45	-42.07	0.00	-6.21
6970000	0.000	2.069	0.000	1	0	0.000	0.010	0.086	115.48	-40.75	-0.00	0.00
6980000	0.000	0.022	0.000	2	0	0.000	0.001	0.014	125.64	-41.80	0.00	-0.43
6990000	0.000	0.557	0.000	2	0	0.000	0.002	0.021	119.70	-41.80	-0.00	0.00
7000000	0.000	595.329	0.000	2	0	0.000	0.003	-0.000	114.89	-42.06	-0.00	0.00
7010000	0.000	17.006	0.000	3	0	0.000	0.000	-0.022	123.30	-43.29	0.01	0.00
7020000	0.000	1.408	0.000	2	0	0.000	0.002	-0.029	120.51	-41.80	-0.00	0.65
7030000	0.000	0.016	0.000	2	0	0.000	0.004	0.058	121.70	-41.80	0.00	0.00
7040000	0.000	0.001	0.000	1	0	0.000	0.009	-0.066	119.76	-40.75	-0.00	0.00
7050000	0.000	0.015	0.000	1	0	0.000	0.001	0.036	121.46	-40.75	-0.00	-0.69
7060000	0.000	2.415	0.000	2	0	0.000	0.009	0.009	119.72	-41.81	0.00	0.00
7070000	0.000	0.433	0.000	2	0	0.000	0.005	-0.018	121.25	-41.80	-0.00	0.00
7080000	0.000	0.281	0.000	2	0	0.000	0.008	-0.012	119.66	-41.80	-0.00	0.00
7090000	0.000	0.129	0.000	2	0	0.000	0.004	0.033	118.46	-41.80	-0.00	0.00
7100000	0.000	0.064	0.000	2	0	0.000	0.004	0.002	113.86	-41.80	0.00	-6.29
7110000	0.000	0.619	0.000	3	0	0.000	0.008	0.029	107.13	-43.27	0.00	-6.11
7120000	0.000	0.128	0.000	2	0	0.000	0.002	-0.020	117.25	-41.80	0.00	-0.68
7130000	0.000	0.266	0.000	1	0	0.000	0.002	-0.036	120.18	-40.75	-0.00	0.00
7140000	0.000	0.503	0.000	1	0	0.000	0.004	0.068	118.84	-40.75	0.00	-0.41
7150000	0.000	23.286	0.000	1	0	0.000	0.013	0.012	116.13	-40.77	0.00	-6.15
7160000	0.000	1.827	0.000	1	0	0.000	0.006	0.066	117.72	-40.75	0.00	-6.18
7170000	0.000	0.548	0.000	1	0	0.000	0.001	-0.005	121.23	-40.75	0.00	-0.27
7180000	0.000	0.079	0.000	1	0	0.000	0.004	0.032	121.12	-40.75	0.00	-6.38
7190000	0.000	1.576	0.000	1	0	0.000	0.004	-0.006	119.99	-40.75	-0.00	0.00
7200000	0.000	5.471	0.000	2	0	0.000	0.003	-0.014	119.42	-41.81	-0.00	0.00
7210000	0.000	5.590	0.000	2	0	0.000	0.008	-0.031	114.75	-41.81	-0.00	0.00
7220000	0.000	0.003	0.000	1	0	0.000	0.011	-0.005	121.35	-40.75	-0.00	0.00
7230000	0.000	0.004	0.000	1	0	0.000	0.001	0.002	121.61	-40.75	-0.00	-0.69
7240000	0.000	0.004	0.000	1	0	0.000	0.003	-0.003	122.36	-40.75	0.00	0.00
7250000	0.000	0.013	0.000	1	0	0.000	0.003	0.012	121.77	-40.75	0.00	-0.52
7260000	0.000	0.973	0.000	1	0	0.000	0.007	-0.044	118.64	-40.75	0.00	0.00
7270000	0.000	0.469	0.000	1	0	0.000	0.004	-0.035	120.10	-40.75	0.00	-6.16
7280000	0.000	0.932	0.000	1	0	0.000	0.005	-0.024	119.76	-40.75	-0.00	0.00
7290000	0.000	5.059	0.000	1	0	0.000	0.001	0.005	118.85	-40.75	-0.00	-0.69
7300000	0.000	0.228	0.000	1	0	0.000	0.004	0.025	117.71	-40.75	0.00	-0.27
7310000	0.000	0.071	0.000	1	0	0.000	0.009	0.020	120.35	-40.75	-0.00	0.00
7320000	0.000	0.063	0.000	2	0	0.000	0.005	0.033	120.04	-41.80	0.00	-6.15
7330000	0.000	1.286	0.000	1	0	0.000	0.002	0.006	120.19	-40.75	-0.00	0.00
7340000	0.000	3.573	0.000	1	0	0.000	0.002	-0.026	119.95	-40.75	-0.00	-0.69
7350000	0.000	5.902	0.000	1	0	0.000	0.002	0.008	119.86	-40.75	-0.00	-0.69
7360000	0.000	21965.126	0.000	1	0	0.000	0.000	-0.006	115.94	-41.29	0.00	0.00
7370000	0.000	4287453.939	0.000	1	0	0.000	0.007	-0.017	112.06	-41.71	-1.93	-0.69
7380000	0.000	238801.407	0.000	1	0	0.000	0.002	-0.041	114.24	-41.48	0.03	0.00
7390000	0.000	258331.985	0.000	1	0	0.000	0.004	-0.059	113.26	-41.48	0.00	-6.30
7400000	0.000	337497.628	0.000	1	0	0.000	0.001	0.005	114.59	-41.51	-1.52	-0.69
7410000	0.000	129076.621	0.000	1	0	0.000	0.010	-0.043	111.18	-41.43	0.00	-6.03
