state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
5600000	0.000	989.925	0.000	1	0	0.000	0.013	-0.009	114.74	-1150.53	0.00	-13.00
5610000	0.000	6006.507	0.000	1	0	0.000	0.000	0.018	114.23	-1155.55	-12.01	-0.69
5620000	0.000	124.518	0.000	1	0	0.000	0.005	-0.045	117.20	-1149.66	0.00	0.00
5630000	0.000	183.122	0.000	1	0	0.000	0.000	0.031	117.86	-1149.72	-0.04	0.00
5640000	0.000	2.521	0.000	1	0	0.000	0.003	0.024	118.32	-1149.54	-0.01	-0.69
5650000	0.000	1.608	0.000	1	0	0.000	0.009	-0.015	118.36	-1149.54	0.00	-12.90
5660000	0.000	0.060	0.000	1	0	0.000	0.011	0.036	118.59	-1149.54	-0.07	0.00
5670000	0.000	0.000	0.000	0	0	0.000	0.001	-0.005	115.05	-1149.17	0.00	-12.50
5680000	0.000	0.000	0.000	0	0	0.000	0.004	-0.047	115.56	-1149.17	0.00	-12.61
5690000	0.000	0.000	0.000	0	0	0.000	0.011	-0.025	115.81	-1149.17	-1.24	0.00
5700000	0.000	0.000	0.000	0	0	0.000	0.020	-0.063	113.18	-1149.17	-1.26	0.00
5710000	0.000	0.000	0.000	0	0	0.000	0.004	0.053	115.13	-1149.17	0.00	-12.61
5720000	0.000	0.000	0.000	0	0	0.000	0.000	0.058	115.98	-1149.17	0.00	-12.67
5730000	0.000	0.000	0.000	0	0	0.000	0.002	0.012	117.44	-1149.17	0.00	-0.71
5740000	0.000	0.000	0.000	0	0	0.000	0.010	0.022	115.73	-1149.17	0.00	0.00
5750000	0.000	0.000	0.000	0	0	0.000	0.002	-0.046	117.26	-1149.17	0.00	-12.91
5760000	0.000	0.000	0.000	0	0	0.000	0.008	0.012	114.46	-1149.17	0.00	-12.55
5770000	0.000	0.000	0.000	0	0	0.000	0.005	0.009	115.92	-1149.17	0.00	0.00
5780000	0.000	0.000	0.000	0	0	0.000	0.008	-0.052	115.82	-1149.17	-0.00	0.00
5790000	0.000	0.000	0.000	0	0	0.000	0.000	-0.008	117.86	-1149.17	0.00	-12.83
5800000	0.000	0.000	0.000	0	0	0.000	0.030	-0.045	111.64	-1149.17	0.00	0.00
5810000	0.000	0.000	0.000	0	0	0.000	0.003	0.018	117.30	-1149.17	-1.37	0.00
5820000	0.000	0.000	0.000	0	0	0.000	0.003	-0.078	115.96	-1149.17	-1.53	0.00
5830000	0.000	0.000	0.000	0	0	0.000	0.006	-0.067	115.80	-1149.17	-1.56	0.00
5840000	0.000	0.000	0.000	0	0	0.000	0.006	0.017	116.19	-1149.17	0.00	-12.70
